,BlockHeight,uluna_burnt,uusd_minted,spread,delta,lunaPool,terra_pool,usd_per_luna_price,usd_per_ust_price
146,7594488.0,88393.0,94999.05941448358,0.05,5924479.398887577,44703143.00413012,55924479.398887575,1.1313001019309528,0.7496155922910273
147,7594489.0,88393.0,94999.05941448358,0.05,5836739.065793869,44773388.30718938,55836739.06579387,1.1313001019309528,0.7541629205389164
148,7594490.0,88393.0,94999.05941448358,0.05,5851460.442448068,44761586.89845033,55851460.442448065,1.1313001019309528,0.7514762087696335
149,7594491.0,89304.0,95978.1430876997,0.05,5841085.163848578,44769903.6052848,55841085.16384858,1.1197648170684762,0.7585183394823444
150,7594492.0,87968.0,93578.29785648572,0.05,5726920.465583839,44861621.26155822,55726920.46558384,1.13677390116877,0.7680995654358067
151,7594493.0,87547.0,94545.08748934118,0.05,5712776.1544697555,44873010.69091364,55712776.15446976,1.1422432873508384,0.7669354131219208
152,7594494.0,87547.0,94999.97442381864,0.05,5554138.79495917,45001147.605348945,55554138.79495917,1.1422432873508384,0.7690655735560997
153,7594495.0,87547.0,94999.97442381864,0.05,5547232.284490715,45006742.859770216,55547232.28449071,1.1422432873508384,0.7710027984208567
154,7594496.0,88297.0,95813.82276605611,0.05,5506952.630996383,45039402.84057211,55506952.630996384,1.1325317001905886,0.7710748327985408
155,7594497.0,88495.0,95212.22316794783,0.05,5384743.859174056,45138784.18137514,55384743.85917406,1.1299957841691892,0.7657332644882882
156,7594498.0,88495.0,94999.0280740498,0.05,5412474.593087915,45116194.8344362,55412474.59308791,1.1299957841691892,0.7690751683720762
157,7594499.0,88495.0,94999.0280740498,0.05,5264510.561426538,45236987.98022012,55264510.561426535,1.1299957841691892,0.7690617947192685
158,7594500.0,88495.0,94999.0280740498,0.05,5657797.507013398,44917336.15015896,55657797.507013395,1.1299957841691892,0.7688420769648178
159,7594501.0,88415.0,94913.14839445292,0.05,5647672.241250231,44925508.998143,55647672.24125023,1.1310261826010433,0.775735180403787
160,7594502.0,88973.0,95599.2529173345,0.05,5491165.685771058,45052216.31415549,55491165.685771056,1.1239297648956492,0.7659629188721606
161,7594503.0,88973.0,94999.43282345757,0.05,5486619.243988877,45055907.78574668,55486619.24398888,1.1239297648956492,0.7655490096820096
162,7594504.0,88973.0,94999.43282345757,0.05,5334352.177383684,45179891.00126851,55334352.17738368,1.1239297648956492,0.7651444096266006
163,7594505.0,88973.0,94999.43282345757,0.05,5395012.7108128555,45130416.578314304,55395012.71081285,1.1239297648956492,0.7718590703607033
164,7594506.0,88665.0,94670.5709742491,0.05,5253896.944741968,45245677.46778453,55253896.944741964,1.127831681951904,0.7769610577032037
165,7594507.0,90387.0,96844.25612475742,0.05,5124426.220852366,45351945.977340706,55124426.22085237,1.106353706167572,0.7601595893789992
166,7594508.0,90387.0,94999.9928173999,0.05,5005485.674587415,45450012.291319564,55005485.67458741,1.106353706167572,0.7681271283564097
167,7594509.0,90387.0,94999.9928173999,0.05,5049703.253489204,45413505.47319332,55049703.253489204,1.106353706167572,0.7704465214566306
168,7594510.0,90387.0,94999.9928173999,0.05,5801553.121334959,44801620.387948655,55801553.121334955,1.106353706167572,0.775092122171492
169,7594511.0,90186.0,94788.7345772072,0.05,5641038.511504611,44930865.182954624,55641038.51150461,1.108812092183082,0.7725466407102505
170,7594512.0,92296.0,97221.97481712323,0.05,5484342.99729615,45057756.20559893,55484342.99729615,1.083463654946338,0.7492285789584388
171,7594513.0,92296.0,94999.39342208083,0.05,5547289.439692376,45006696.55022945,55547289.43969238,1.083463654946338,0.749509829260711
172,7594514.0,92296.0,94999.39342208083,0.05,5404997.810672608,45122283.16555276,55404997.81067261,1.083463654946338,0.7533483417304578
173,7594515.0,92296.0,94999.39342208083,0.05,5433119.861080052,45099391.95674364,55433119.86108005,1.083463654946338,0.7533483417304578
174,7594516.0,91197.0,93868.20319313412,0.05,6001968.809680687,44641287.67501191,56001968.809680685,1.096526208473982,0.7624309288517612
175,7594517.0,92515.0,96372.86606812193,0.05,5835995.024651923,44773984.93384483,55835995.02465192,1.0808946362416942,0.7606738257129001
176,7594518.0,92515.0,94999.01890830533,0.05,5829381.731232051,44779288.65548319,55829381.73123205,1.0808946362416942,0.7649935922828575
177,7594519.0,92515.0,94999.01890830533,0.05,5667454.46092005,44909544.08118415,55667454.46092005,1.0808946362416942,0.755897294862406
178,7594520.0,92515.0,94999.01890830533,0.05,5512782.512187994,45034672.860275336,55512782.512187995,1.0808946362416942,0.7704095759737201
179,7594521.0,92535.0,95019.55590639393,0.05,5384260.720843009,45139177.94445099,55384260.72084301,1.080667142598532,0.7735394657911153
180,7594522.0,93465.0,95954.3267588232,0.05,5340970.7193899825,45174487.680680804,55340970.71938998,1.0699179416440772,0.767941747099659
181,7594523.0,93465.0,94999.88639497549,0.05,5192610.4216291495,45295918.799671195,55192610.421629146,1.0699179416440772,0.7690569574757843
182,7594524.0,93465.0,94999.88639497549,0.05,5048371.243250562,45414604.34774486,55048371.243250564,1.0699179416440772,0.7690569574757843
183,7594525.0,93465.0,94999.88639497549,0.05,5316345.533265985,45194598.01437095,55316345.533265986,1.0699179416440772,0.7690569574757843
184,7594526.0,92795.0,94318.88362511904,0.05,5915344.287061861,44710446.334110655,55915344.28706186,1.07764367,0.77461021059215
185,7594527.0,94851.0,97104.80075601151,0.05,5905259.151200205,44718511.960360505,55905259.151200205,1.054277815437961,0.7577146165227389
186,7594528.0,94851.0,94999.33981850074,0.05,5741224.174777977,44850109.358222716,55741224.17477798,1.054277815437961,0.7676308422224449
